Project,Bot,Issue,IMonthDate,IDate,IIsPR,Author,Commentators,ThreadSize,IMentions,CMentions,ChosenBotComments,HumanComments,OtherBotsComments
agenda/agenda,renovate,agenda/agenda/issues/1132,2020-10-01,20-10,true,renovatebot,"human, human, human, human, human, human, human, human, human, human",10,renovate,"renovate, ",0,10,0
agenda/agenda,renovate,agenda/agenda/issues/619,2018-06-01,18-06,true,renovatebot,"human, human, human, human",4,renovate,", renovate",0,4,0
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/1333,2016-10-01,16-10,true,pyup,"human, human, other bot",3,,,0,2,1
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/1357,2016-11-01,16-11,true,pyup,"human, pyup, other bot",3,pyup,,1,1,1
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/1522,2016-12-01,16-12,true,pyup,"human, human, other bot",3,pyup,,0,2,1
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/1543,2017-01-01,17-01,true,pyup,"human, pyup, other bot",3,pyup,,1,1,1
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/1545,2017-01-01,17-01,true,pyup,"human, pyup, other bot",3,pyup,,1,1,1
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/1730,2017-03-01,17-03,false,human,"human, human, human, human, human, human, human, human, human, human, human, human, other bot",13,,", pyup",0,12,1
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/1945,2017-06-01,17-06,true,pyup,"human, pyup, other bot",3,pyup,,1,1,1
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/2013,2017-06-01,17-06,false,human,"human, human, human, human, human, human, human, other bot",8,,", pyup",0,7,1
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/2102,2017-07-01,17-07,true,pyup,"human, human, other bot",3,pyup,,0,2,1
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/2138,2017-07-01,17-07,true,pyup,"human, pyup, other bot",3,pyup,,1,1,1
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/2347,2017-10-01,17-10,false,human,"human, human, human, human, human, human, human, human, human, human, human, human, human, human, human, human, human, human, human, human, human, human, human, human, human, human, other bot",27,,", pyup",0,26,1
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/2437,2017-10-01,17-10,true,human,"human, human, human, human, human, other bot",6,,", pyup",0,5,1
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/2661,2018-01-01,18-01,true,pyup,"human, human, other bot",3,pyup,,0,2,1
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/2853,2018-03-01,18-03,false,human,"human, human, human, human, human, human, human, human, human, human, human, human, human, human, human, human, human",17,,", pyup",0,17,0
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/2951,2018-04-01,18-04,true,pyup,"human, human, other bot",3,pyup,,0,2,1
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/3108,2018-06-01,18-06,true,pyup,"human, pyup, other bot",3,pyup,,1,1,1
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/3349,2018-10-01,18-10,true,human,"human, human, human, other bot",4,,", pyup",0,3,1
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/3369,2018-10-01,18-10,true,pyup,"human, pyup, other bot",3,pyup,,1,1,1
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/3596,2019-02-01,19-02,true,human,"human, human, human, human, human, human",6,,", pyup",0,6,0
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/3646,2019-03-01,19-03,true,pyup,"human, human, human, pyup",4,pyup,,1,3,0
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/3745,2019-05-01,19-05,true,dependabot,"human, human, human",3,,,0,3,0
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/3746,2019-05-01,19-05,true,dependabot,"human, human, other bot",3,,,0,2,1
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/3747,2019-05-01,19-05,true,dependabot,"human, other bot, human",3,,,0,2,1
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/3748,2019-05-01,19-05,true,dependabot,"human, other bot, other bot",3,,,0,1,2
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/3809,2019-06-01,19-06,true,dependabot,"human, human, human",3,,,0,3,0
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/3811,2019-06-01,19-06,true,dependabot,"human, human, human",3,,,0,3,0
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/4018,2019-08-01,19-08,false,human,"human, human, human, human, human, human, human",7,,,0,7,0
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/4020,2019-08-01,19-08,true,human,"human, human, human, human, human, human, human, human, human",9,,,0,9,0
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/4036,2019-09-01,19-09,true,dependabot,"human, human, dependabot",3,,,1,2,0
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/4091,2019-09-01,19-09,true,dependabot,"dependabot, human, human, human, human, human",6,,,1,5,0
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/4092,2019-09-01,19-09,true,dependabot,"dependabot, human, human, dependabot, human, human",6,,,2,4,0
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/4103,2019-09-01,19-09,true,dependabot,"dependabot, human, human, human, dependabot",5,,,2,3,0
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/4104,2019-09-01,19-09,true,dependabot,"dependabot, human, dependabot",3,,,2,1,0
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/4122,2019-10-01,19-10,false,dependabot,"human, human, human, human, human, human",6,,,0,6,0
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/4245,2019-10-01,19-10,true,dependabot,"human, dependabot, dependabot",3,,,2,1,0
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/4259,2019-10-01,19-10,true,dependabot,"human, human, dependabot",3,,,1,2,0
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/4260,2019-10-01,19-10,true,dependabot,"human, dependabot, human, human",4,,,1,3,0
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/4338,2019-11-01,19-11,true,dependabot,"human, dependabot, dependabot",3,,,2,1,0
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/4344,2019-11-01,19-11,true,dependabot,"human, dependabot, dependabot",3,,,2,1,0
aio-libs/aiohttp,pyup,aio-libs/aiohttp/issues/4355,2019-11-01,19-11,true,dependabot,"human, dependabot, dependabot",3,,,2,1,0
