project;total_issues
elastic/kibana;96934
Automattic/wp-calypso;51885
angular/angular;41593
ampproject/amphtml;33794
grafana/grafana;32933
gatsbyjs/gatsby;30845
ant-design/ant-design;30125
woocommerce/woocommerce;29654
web-platform-tests/wpt;28451
nextcloud/server;26535
mui-org/material-ui;25744
vercel/next.js;24011
ElemeFE/element;20927
angular/angular-cli;20513
emberjs/ember.js;19495
hashicorp/terraform-provider-aws;18811
tootsuite/mastodon;16033
cypress-io/cypress;15956
adobe/brackets;15340
powershell/PowerShell;15210
PowerShell/PowerShell;15210
storybookjs/storybook;14575
YetiForceCompany/YetiForceCRM;14546
forem/forem;13375
sequelize/sequelize;13190
babel/babel;13144
webpack/webpack;13123
TryGhost/Ghost;12871
discourse/discourse;12682
GoogleChrome/lighthouse;12356
foundation/foundation-sites;12222
minio/minio;12046
Homebrew/brew;11129
spree/spree;10968
prettier/prettier;10698
strapi/strapi;10029
NodeBB/NodeBB;9484
pypa/warehouse;9377
nuxt/nuxt.js;9146
facebook/flow;8641
yarnpkg/yarn;8613
ant-design/ant-design-pro;8353
diaspora/diaspora;8236
rtfd/readthedocs.org;8096
apollographql/apollo-client;7979
ReactTraining/react-router;7819
reacttraining/react-router;7819
syncthing/syncthing;7568
pixijs/pixi.js;7401
parse-community/parse-server;7342
videojs/video.js;7175
swagger-api/swagger-ui;7172
nestjs/nest;6884
Dogfalo/materialize;6635
hypothesis/h;6585
bootstrap-vue/bootstrap-vue;6545
VSCodeVim/Vim;6470
qutebrowser/qutebrowser;6388
marmelab/react-admin;6159
buildbot/buildbot;5981
akveo/ngx-admin;5846
dotansimha/graphql-code-generator;5834
docker/kitematic;5823
react-bootstrap/react-bootstrap;5768
tldr-pages/tldr;5742
pyinstaller/pyinstaller;5730
aio-libs/aiohttp;5615
KeepSafe/aiohttp;5615
vercel/hyper;5502
nteract/nteract;5493
getredash/redash;5471
withspectrum/spectrum;5442
google/material-design-lite;5356
netlify/netlify-cms;5261
lodash/lodash;5136
apereo/cas;5123
apollographql/apollo-server;5107
monicahq/monica;5061
portainer/portainer;4981
react-hook-form/react-hook-form;4762
freqtrade/freqtrade;4729
hexojs/hexo;4683
palantir/blueprint;4634
mochajs/mocha;4626
consul/consul;4471
nolimits4web/swiper;4436
CachetHQ/Cachet;4263
the-benchmarker/web-frameworks;4174
uber/baseweb;4173
tailwindlabs/tailwindcss;4059
apollographql/react-apollo;4045
rollup/rollup;4041
angular-ui/ui-router;3827
wekan/wekan;3711
Eugeny/terminus;3696
django-oscar/django-oscar;3691
request/request;3372
pnpm/pnpm;3342
webpack/webpack-dev-server;3180
formium/formik;3146
MrRio/jsPDF;3134
highlightjs/highlight.js;3128
pydanny/cookiecutter-django;3128
cdr/code-server;3123
preactjs/preact;3108
ansible/molecule;3089
pubkey/rxdb;3053
graphql/graphql-js;3038
react-boilerplate/react-boilerplate;3011
HypothesisWorks/hypothesis;2938
electron-react-boilerplate/electron-react-boilerplate;2838
formatjs/formatjs;2826
Kinto/kinto;2759
samuelcolvin/pydantic;2662
Modernizr/Modernizr;2646
starship/starship;2582
gulpjs/gulp;2565
conventional-changelog/commitlint;2547
fonttools/fonttools;2266
verdaccio/verdaccio;2184
atlassian/react-beautiful-dnd;2178
redux-saga/redux-saga;2173
webtorrent/webtorrent;2023
mermaid-js/mermaid;1982
python-trio/trio;1957
streamich/react-use;1941
kriasoft/react-starter-kit;1936
remy/nodemon;1849
cheeriojs/cheerio;1810
marshmallow-code/marshmallow;1792
brettwooldridge/HikariCP;1761
MobSF/Mobile-Security-Framework-MobSF;1715
mobxjs/mobx-state-tree;1688
standard/standard;1654
pedronauck/docz;1621
sharkdp/bat;1610
plotly/dash;1592
koajs/koa;1529
mozilla/send;1515
errbit/errbit;1500
ohld/igbot;1439
slatedocs/slate;1427
isomorphic-git/isomorphic-git;1343
graphcool/graphql-playground;1324
railsware/upterm;1322
react-native-mapbox-gl/maps;1309
koel/koel;1304
agenda/agenda;1295
polyaxon/polyaxon;1272
equinusocio/material-theme;1244
pmndrs/react-three-fiber;1229
infinitered/reactotron;1221
dungeon-revealer/dungeon-revealer;1213
carbon-app/carbon;1205
assetgraph/assetgraph;1162
sahat/hackathon-starter;1142
amperser/proselint;1133
vercel/pkg;1129
tensorlayer/tensorlayer;1126
zsdonghao/tensorlayer;1126
algolia/places;1114
GitSquared/edex-ui;1103
hanami/hanami;1099
cookiecutter-flask/cookiecutter-flask;1062
jakubroztocil/httpie;1052
lk-geimfari/mimesis;1037
GoogleChromeLabs/squoosh;986
github/fetch;948
metricsgraphics/metrics-graphics;942
pure-css/pure;848
commitizen/cz-cli;820
unexpectedjs/unexpected;802
phoet/on_ruby;796
conventional-changelog/conventional-changelog;790
egoist/poi;787
python-gino/gino;777
aasm/aasm;738
michael-lazar/rtv;715
quokkaproject/quokka;688
js-cookie/js-cookie;687
tmux-python/tmuxp;675
prisma/graphql-yoga;665
michalzaq12/electron-nuxt;663
hanami/model;627
audreyfeldroy/cookiecutter-pypackage;612
flaskbb/flaskbb;583
okfn-brasil/serenata-de-amor;550
oauth-xx/oauth2;544
GoogleChromeLabs/comlink;525
daviferreira/react-sanfona;520
Dynamoid/dynamoid;499
guess-js/guess;486
paularmstrong/normalizr;469
archerysec/archerysec;466
lmmfranco/nintendo-switch-eshop;418
lolcommits/lolcommits;411
liiight/notifiers;396
klausmeyer/docker-registry-browser;392
deanmalmgren/textract;376
sloria/TextBlob;376
matthewmueller/x-ray;373
Odi-ts/odi;362
merit-gem/merit;356
hanami/controller;343
wei/pull;323
theskumar/python-dotenv;316
algorithm-visualizer/algorithm-visualizer;303
jayfk/statuspage;302
syncforynab/fintech-to-ynab;293
davellanedam/vue-skeleton-mvp;258
ehForwarderBot/ehForwarderBot;249
preciousforever/data-populator;238
sloria/doitlive;230
hanami/validations;219
ajinabraham/NodeJsScan;218
hanami/router;213
jeffknupp/sandman2;211
test-prof/test-prof;209
toy/image_optim;192
palkan/logidze;187
Mehonoshin/smartvpn-billing;182
nesaulov/surrealist;176
nodenv/nodenv;173
simukappu/activity_notification;160
anycable/anycable-rails;154
Paxa/postbird;129
areknawo/Rex;127
nadeesha/ts-prune;123
exchangeratesapi/exchangeratesapi;119
anycable/anycable;119
d4nyll/smartscroll;98
pboling/flag_shih_tzu;88
fabiomcosta/jquery-meiomask;88
palkan/anyway_config;78
palkan/litecable;67
palkan/n_plus_one_control;45
withspectrum/micro-open-graph;29
