project;watchers;stargazers;subscribers;forks;is_forked
ant-design/ant-design-pro;27922;27922;767;6486;false
withspectrum/spectrum;9610;9610;167;1042;false
isomorphic-git/isomorphic-git;5460;5460;63;216;false
wmhilton/isomorphic-git;5460;5460;63;216;false
hanami/hanami;5399;5399;189;479;false
tbrand/which_is_the_fastest;5043;5043;155;436;false
the-benchmarker/web-frameworks;5043;5043;155;436;false
lolcommits/lolcommits;4415;4415;41;247;false
mroth/lolcommits;4415;4415;41;247;false
aasm/aasm;4201;4201;56;559;false
errbit/errbit;4123;4123;96;978;false
wei/pull;2162;2162;40;340;false
intridea/oauth2;1995;1995;39;620;false
oauth-xx/oauth2;1995;1995;39;620;false
preciousforever/sketch-data-populator;1646;1646;61;121;false
preciousforever/data-populator;1646;1646;61;121;false
anycable/anycable;1447;1447;30;58;false
nodenv/nodenv;1444;1444;25;83;false
toy/image_optim;1384;1384;36;103;false
tute/merit;1368;1368;41;195;false
merit-gem/merit;1368;1368;41;195;false
palkan/test-prof;1149;1149;12;84;false
consul/consul;1075;1075;85;809;false
Paxa/postbird;1063;1063;19;86;false
YetiForceCompany/YetiForceCRM;1041;1041;260;522;false
palkan/logidze;986;986;14;45;false
ant-design/ant-design-pro-layout;963;963;25;236;false
brianlovin/security-checklist;905;905;17;87;false
assetgraph/assetgraph;893;893;16;56;false
react-native-mapbox-gl/maps;845;845;32;394;false
ledermann/docker-rails;839;839;23;129;false
ledermann/rails-settings;793;793;25;300;false
AlchemyCMS/alchemy_cms;695;695;33;276;false
magiclabs/alchemy_cms;695;695;33;276;false
openSUSE/osem;642;642;63;449;false
ledermann/unread;629;629;12;113;false
openSUSE/open-build-service;584;584;61;345;false
davellanedam/node-express-mongodb-jwt-rest-api-skeleton;566;566;34;195;false
r18n/r18n;506;506;12;75;false
assetgraph/assetgraph-builder;484;484;13;40;false
brianlovin/brian-lovin-next;477;477;5;54;false
mathdroid/crop-github-images-cli;461;461;4;20;false
rubytoolbox/rubytoolbox;460;460;23;36;false
pboling/flag_shih_tzu;453;453;10;58;false
lmmfranco/nintendo-switch-eshop;449;449;19;66;false
Dynamoid/Dynamoid;426;426;24;163;false
Dynamoid/dynamoid;426;426;24;163;false
michalzaq12/electron-nuxt;413;413;12;38;false
hanami/model;398;398;32;158;false
palkan/anyway_config;393;393;8;13;false
d4nyll/lethargy;391;391;5;46;false
davellanedam/vue-skeleton-mvp;391;391;19;114;false
samiheikki/javascript-guessing-game;384;384;6;47;false
withspectrum/micro-open-graph;370;370;4;51;false
simukappu/activity_notification;359;359;11;68;false
nadeesha/ts-prune;356;356;5;14;false
unexpectedjs/unexpected;337;337;12;28;false
palkan/n_plus_one_control;337;337;6;11;false
anycable/anycable-rails;328;328;10;24;false
hanami/router;318;318;31;79;false
areknawo/Rex;284;284;6;11;false
nesaulov/surrealist;270;270;11;22;false
Odi-ts/odi;263;263;10;12;false
Odi-ts/Odi;263;263;10;12;false
d4nyll/smartscroll;254;254;12;48;false
palkan/litecable;253;253;3;28;false
Mehonoshin/smartvpn-billing;250;250;17;126;false
daviferreira/react-sanfona;250;250;4;70;false
fabiomcosta/jquery-meiomask;240;240;25;116;false
xiaohuoni/umi-antd-pro;234;234;7;59;false
DannyBen/victor;230;230;8;19;false
klausmeyer/docker-registry-browser;222;222;6;30;false
hanami/controller;220;220;28;97;false
fintech-to-ynab/fintech-to-ynab;208;208;12;129;false
apclary/dungeon-revealer;205;205;7;60;false
phoet/on_ruby;200;200;10;86;false
hanami/validations;200;200;25;51;false
wetransfer/zip_tricks;199;199;19;26;false
WeTransfer/zip_tricks;199;199;19;26;false
fengkx/NodeRSSBot;192;192;3;44;false
palkan/action-cable-testing;188;188;2;18;false
sogehige/sogeBot;182;182;17;57;false
nodenv/node-build;179;179;8;59;false
Paxa/fast_excel;177;177;4;40;false
codeforamerica/ohana-api;172;172;44;177;false
klarna/phobos;172;172;12;24;false
phobos/phobos;172;172;12;24;false
cloudfoundry/cloud_controller_ng;160;160;162;342;false
pboling/sanitize_email;159;159;10;33;false
withspectrum/react-app-rewire-styled-components;157;157;4;15;false
jonhue/acts_as_favoritor;156;156;3;7;false
hanami/utils;154;154;26;107;false
karlentwistle/ruby_home;154;154;9;15;false
Paxa/light_record;152;152;5;6;false
sumcumo/vue-states;149;149;14;4;false
hanami/view;143;143;29;68;false
jameswlane/jest-express;137;137;7;27;false
thoughtbot/upcase;136;136;30;26;false
rafaelrinaldi/whereami;136;136;5;8;false
mvz/gir_ffi;135;135;7;13;false
jonhue/pwa;133;133;4;5;false
rubytoolbox/catalog;127;127;4;215;false
poise/poise-python;123;123;13;115;false
zhandao/zero-rails_openapi;123;123;4;18;false
realm/realm-studio;122;122;23;18;false
specfm/spec-next;121;121;4;16;false
jonhue/turbolinks-animate.js;118;118;1;6;false
jonhue/turbolinks-animate;118;118;1;6;false
thisismydesign/poe-sniper;117;117;16;21;false
mathdroid/igdm-cli;117;117;7;30;false
5k-mirrors/poe-sniper;117;117;16;21;false
aaronmallen/activeinteractor;116;116;2;5;false
jonhue/notifications-rails;111;111;4;8;false
AurityLab/vue-recaptcha-v3;106;106;5;14;false
papandreou/node-cldr;103;103;6;16;false
pboling/cacheable-flash;102;102;8;41;false
pivotal/cacheable-flash;102;102;8;41;false
TwilightCoders/active_record-mti;100;100;1;8;false
paulz/PerspectiveTransform;100;100;2;7;false
iondrimba/pwa-music-player;97;97;4;25;false
withspectrum/graphql-log;96;96;6;5;false
Coursemology/coursemology2;95;95;14;58;false
nadeesha/saul;90;90;1;6;false
withspectrum/callback-to-async-iterator;84;84;2;9;false
banzeh/cielo;77;77;11;19;false
thoughtbot/baccano;76;76;7;7;false
hanami/helpers;75;75;21;51;false
openSUSE/software-o-o;74;74;47;99;false
iondrimba/react-weather-app;73;73;4;23;false
ledermann/docker-vue;71;71;6;24;false
acquaintable/gem_bench;69;69;5;6;false
pboling/gem_bench;69;69;5;6;false
jgarber623/svgeez;68;68;2;11;false
codeforamerica/ohana-web-search;68;68;31;79;false
papandreou/node-pngquant;66;66;2;20;false
papandreou/node-inkscape;64;64;5;11;false
cmur2/dyndnsd;64;64;3;10;false
mathdroid/react-360-gaze-button;64;64;3;10;false
ryanfb/loebolus;62;62;3;5;false
AurityLab/recaptcha-v3;60;60;3;8;false
PopulateTools/gobierto;58;58;13;24;false
ant-design/v2.preview.pro.ant.design;58;58;7;30;false
