project;watchers;stargazers;subscribers;forks;is_forked
firebase/functions-samples;9535;9535;403;3350;false
google/google-api-nodejs-client;9109;9109;360;1656;false
googleapis/google-api-nodejs-client;9109;9109;360;1656;false
firebase/quickstart-android;7469;7469;529;7118;false
GoogleCloudPlatform/python-docs-samples;4708;4708;282;4800;false
firebase/quickstart-js;3769;3769;224;3121;false
GoogleCloudPlatform/google-cloud-python;3464;3464;315;1338;false
googleapis/google-cloud-python;3464;3464;315;1338;false
firebase/firebase-js-sdk;3275;3275;187;572;false
GoogleCloudPlatform/nodejs-docs-samples;2111;2111;103;1539;false
firebase/quickstart-ios;2106;2106;201;1321;false
googleapis/google-cloud-java;1508;1508;168;980;false
GoogleCloudPlatform/google-cloud-java;1508;1508;168;980;false
firebase/friendlychat-web;1475;1475;160;1491;false
firebase/FirebaseUI-iOS;1304;1304;165;450;false
GoogleCloudPlatform/java-docs-samples;1238;1238;128;2382;false
googleapis/google-auth-library-nodejs;1063;1063;74;287;false
google/google-auth-library-nodejs;1063;1063;74;287;false
googleapis/google-cloud-ruby;1040;1040;96;430;false
GoogleCloudPlatform/google-cloud-ruby;1040;1040;96;430;false
googleapis/google-cloud-php;774;774;110;326;false
GoogleCloudPlatform/google-cloud-php;774;774;110;326;false
GoogleCloudPlatform/php-docs-samples;727;727;134;880;false
googleapis/nodejs-dialogflow;685;685;62;266;false
dialogflow/dialogflow-nodejs-client-v2;685;685;62;266;false
GoogleCloudPlatform/getting-started-python;598;598;77;450;false
googleapis/nodejs-storage;581;581;58;258;false
GoogleCloudPlatform/dotnet-docs-samples;543;543;106;1062;false
googleapis/nodejs-speech;524;524;58;263;false
googleapis/nodejs-firestore;461;461;52;107;false
firebase/mlkit-material-android;451;451;81;146;false
GoogleCloudPlatform/getting-started-java;449;449;74;545;false
GoogleCloudPlatform/awesome-google-cloud;442;442;74;101;false
googleapis/nodejs-vision;412;412;51;128;false
googleapis/nodejs-translate;406;406;50;108;false
firebase/snippets-android;397;397;103;255;false
googleapis/nodejs-pubsub;319;319;43;187;false
firebase/friendlypix-web;313;313;88;156;false
googleapis/nodejs-text-to-speech;267;267;35;77;false
googleapis/nodejs-bigquery;263;263;40;141;false
firebase/friendlyeats-web;223;223;80;192;false
googleapis/google-api-java-client-services;208;208;42;196;false
GoogleCloudPlatform/python-runtime;196;196;39;87;false
googleapis/nodejs-datastore;159;159;35;81;false
firebase/friendlyeats-android;157;157;89;123;false
firebase/friendlypix-ios;155;155;74;54;false
googleapis/cloud-debug-nodejs;153;153;42;52;false
GoogleCloudPlatform/cloud-debug-nodejs;153;153;42;52;false
googleapis/google-cloud-php-firestore;113;113;52;26;false
GoogleCloudPlatform/google-cloud-php-firestore;113;113;52;26;false
googleapis/nodejs-language;111;111;34;56;false
googleapis/github-repo-automation;108;108;39;31;false
googleapis/node-gtoken;100;100;34;42;false
google/node-gtoken;100;100;34;42;false
googleapis/nodejs-tasks;93;93;29;36;false
firebase/friendlyeats-ios;88;88;77;34;false
googleapis/nodejs-compute;85;85;36;67;false
googleapis/nodejs-logging;84;84;40;49;false
googleapis/nodejs-spanner;77;77;54;68;false
GoogleCloudPlatform/appengine-try-java;74;74;93;126;false
firebase/snippets-ios;74;74;77;35;false
googleapis/nodejs-logging-winston;74;74;37;33;false
googleapis/nodejs-automl;71;71;30;26;false
firebase/mlkit-material-ios;67;67;61;17;false
googleapis/nodejs-dns;62;62;35;14;false
googleapis/nodejs-error-reporting;62;62;31;31;false
googleapis/nodejs-bigtable;62;62;37;40;false
googleapis/google-cloud-php-dialogflow;61;61;51;22;false
googleapis/nodejs-monitoring;57;57;32;28;false
googleapis/gax-nodejs;55;55;40;44;false
googleapis/google-cloud-php-vision;51;51;47;19;false
googleapis/nodejs-video-intelligence;49;49;35;34;false
firebase/friendlychat-ios;48;48;80;45;false
googleapis/nodejs-logging-bunyan;45;45;35;28;false
stephenplusplus/gcs-resumable-upload;44;44;35;27;false
googleapis/gcs-resumable-upload;44;44;35;27;false
googleapis/nodejs-proto-files;44;44;36;21;false
googleapis/google-cloud-kvstore;41;41;32;21;false
stephenplusplus/google-cloud-kvstore;41;41;32;21;false
googleapis/nodejs-common;38;38;37;28;false
googleapis/nodejs-datastore-session;37;37;40;24;false
googleapis/nodejs-cloud-container;37;37;32;11;false
googleapis/nodejs-dlp;36;36;34;52;false
googleapis/nodejs-redis;33;33;30;14;false
googleapis/google-cloud-php-pubsub;33;33;42;14;false
GoogleCloudPlatform/google-cloud-php-pubsub;33;33;42;14;false
googleapis/google-cloud-php-speech;33;33;43;18;false
googleapis/nodejs-kms;32;32;33;24;false
googleapis/gcp-metadata;31;31;30;21;false
stephenplusplus/gcp-metadata;31;31;30;21;false
googleapis/nodejs-iot;30;30;31;18;false
googleapis/google-p12-pem;27;27;30;22;false
google/google-p12-pem;27;27;30;22;false
googleapis/sloth;26;26;34;60;false
GoogleCloudPlatform/google-cloud-php-logging;24;24;45;7;false
googleapis/google-cloud-php-logging;24;24;45;7;false
googleapis/google-cloud-php-text-to-speech;20;20;32;10;false
GoogleCloudPlatform/google-cloud-php-trace;19;19;51;7;false
googleapis/google-cloud-php-trace;19;19;51;7;false
googleapis/gce-images;18;18;27;21;false
GoogleCloudPlatform/java-repo-tools;18;18;27;29;false
stephenplusplus/gce-images;18;18;27;21;false
googleapis/nodejs-googleapis-common;17;17;29;23;false
googleapis/nodejs-resource;16;16;34;17;false
googleapis/nodejs-asset;15;15;29;17;false
GoogleCloudPlatform/google-cloud-php-errorreporting;14;14;43;7;false
googleapis/google-cloud-php-errorreporting;14;14;43;7;false
googleapis/nodejs-dataproc;12;12;29;8;false
googleapis/nodejs-common-grpc;10;10;28;14;false
googleapis/nodejs-paginator;9;9;29;13;false
googleapis/google-cloud-php-tasks;9;9;40;6;false
googleapis/google-cloud-php-bigtable;9;9;45;13;false
googleapis/nodejs-bigquery-data-transfer;9;9;30;12;false
GoogleCloudPlatform/google-cloud-php-bigtable;9;9;45;13;false
googleapis/nodejs-promisify;9;9;29;14;false
GoogleCloudPlatform/google-cloud-php-videointelligence;7;7;50;7;false
googleapis/nodejs-os-login;7;7;28;13;false
firebase/appquality-codelab-ios;7;7;67;7;false
googleapis/google-cloud-php-videointelligence;7;7;50;7;false
googleapis/google-cloud-php-kms;6;6;43;5;false
googleapis/google-cloud-php-iot;5;5;47;5;false
GoogleCloudPlatform/google-cloud-php-dlp;5;5;50;5;false
googleapis/google-cloud-php-dlp;5;5;50;5;false
GoogleCloudPlatform/google-cloud-php-monitoring;4;4;44;6;false
