project;watchers;stargazers;subscribers;forks;is_forked
playframework/playframework;11792;11792;696;3937;false
playframework/playframework;11792;11792;696;3937;false
typelevel/cats;4200;4200;196;1045;false
typelevel/cats;4200;4200;196;1045;false
typelevel/cats;4200;4200;196;1045;false
milessabin/shapeless;3113;3113;120;500;false
milessabin/shapeless;3113;3113;120;500;false
milessabin/shapeless;3113;3113;120;500;false
scalaz/scalaz-io;2652;2652;125;746;false
scalaz/scalaz-ioz;2652;2652;125;746;false
scalaz/scalaz-io;2652;2652;125;746;false
zio/zio;2652;2652;125;746;false
zio/zio;2652;2652;125;746;false
scalaz/scalaz-zio;2652;2652;125;746;false
scalaz/scalaz-ioz;2652;2652;125;746;false
scalaz/scalaz-zio;2652;2652;125;746;false
lagom/lagom;2508;2508;156;599;false
Lagom/lagom;2508;2508;156;599;false
lagom/lagom;2508;2508;156;599;false
Lagom/lagom;2508;2508;156;599;false
circe/circe;2079;2079;70;445;false
circe/circe;2079;2079;70;445;false
circe/circe;2079;2079;70;445;false
spotify/scio;2052;2052;124;410;false
spotify/scio;2052;2052;124;410;false
spotify/scio;2052;2052;124;410;false
http4s/http4s;1957;1957;84;621;false
http4s/http4s;1957;1957;84;621;false
http4s/http4s;1957;1957;84;621;false
getquill/quill;1797;1797;60;263;false
getquill/quill;1797;1797;60;263;false
getquill/quill;1797;1797;60;263;false
functional-streams-for-scala/fs2;1788;1788;93;470;false
functional-streams-for-scala/fs2;1788;1788;93;470;false
tpolecat/doobie;1766;1766;81;298;false
monix/monix;1752;1752;70;229;false
Monix/monix;1752;1752;70;229;false
Monix/monix;1752;1752;70;229;false
monixio/monix;1752;1752;70;229;false
monifu/monix;1752;1752;70;229;false
monix/monix;1752;1752;70;229;false
Monix/monix;1752;1752;70;229;false
monixio/monix;1752;1752;70;229;false
monifu/monix;1752;1752;70;229;false
monix/monix;1752;1752;70;229;false
monixio/monix;1752;1752;70;229;false
monifu/monix;1752;1752;70;229;false
coursier/coursier;1724;1724;51;206;false
coursier/coursier;1724;1724;51;206;false
non/spire;1606;1606;73;237;false
non/spire;1606;1606;73;237;false
typelevel/spire;1606;1606;73;237;false
typelevel/spire;1606;1606;73;237;false
adamw/elasticmq;1535;1535;56;148;false
softwaremill/elasticmq;1535;1535;56;148;false
sksamuel/elastic4s;1533;1533;78;618;false
sksamuel/elastic4s;1533;1533;78;618;false
ThoughtWorksInc/Binding.scala;1519;1519;121;104;false
ThoughtWorksInc/Binding.scala;1519;1519;121;104;false
ThoughtWorksInc/Binding.scala;1519;1519;121;104;false
finagle/finch;1513;1513;63;216;false
finagle/finch;1513;1513;63;216;false
finagle/finch;1513;1513;63;216;false
japgolly/scalajs-react;1427;1427;63;221;false
pathikrit/better-files;1394;1394;41;147;false
pathikrit/better-files;1394;1394;41;147;false
pathikrit/better-files;1394;1394;41;147;false
almond-sh/almond;1340;1340;57;198;false
almond-sh/almond;1340;1340;57;198;false
julien-truffaut/Monocle;1318;1318;49;189;false
julien-truffaut/Monocle;1318;1318;49;189;false
julien-truffaut/Monocle;1318;1318;49;189;false
fthomas/refined;1289;1289;31;120;false
fthomas/refined;1289;1289;31;120;false
fthomas/refined;1289;1289;31;120;false
typelevel/cats-effect;1093;1093;83;298;false
typelevel/cats-effect;1093;1093;83;298;false
tpolecat/skunk;1061;1061;32;66;false
scalapb/ScalaPB;1053;1053;50;208;false
softwaremill/sttp;1049;1049;35;173;false
mpilquist/simulacrum;907;907;32;63;false
mpilquist/simulacrum;907;907;32;63;false
lightbend/scala-logging;799;799;28;118;false
typesafehub/scala-logging;799;799;28;118;false
lightbend/scala-logging;799;799;28;118;false
lightbend/scala-logging;799;799;28;118;false
typesafehub/scala-logging;799;799;28;118;false
fthomas/scala-steward;797;797;21;349;false
fthomas/scala-steward;797;797;21;349;false
fthomas/scala-steward;797;797;21;349;false
slamdata/quasar;795;795;54;118;false
pauljamescleary/scala-pet-store;793;793;43;176;false
playframework/play-slick;793;793;51;293;false
playframework/play-slick;793;793;51;293;false
pauljamescleary/scala-pet-store;793;793;43;176;false
gearpump/gearpump;747;747;92;159;false
gearpump/gearpump;747;747;92;159;false
gearpump/gearpump;747;747;92;159;false
ThoughtWorksInc/DeepLearning.scala;746;746;78;89;false
ThoughtWorksInc/DeepLearning.scala;746;746;78;89;false
unfiltered/unfiltered;710;710;27;116;false
unfiltered/unfiltered;710;710;27;116;false
scodec/scodec;709;709;31;91;false
scodec/scodec;709;709;31;91;false
typelevel/frameless;705;705;33;123;false
typelevel/frameless;705;705;33;123;false
cb372/scalacache;684;684;28;98;false
cb372/scalacache;684;684;28;98;false
cb372/scalacache;684;684;28;98;false
softwaremill/tapir;653;653;43;148;false
