project;watchers;stargazers;subscribers;forks;is_forked
golang/go;79628;79628;3543;11554;false
nodejs/node;75263;75263;2986;18758;false
atom/atom;53745;53745;2584;15467;false
h5bp/html5-boilerplate;48563;48563;2710;11250;false
rails/rails;47063;47063;2508;18888;false
ansible/ansible;45953;45953;2032;19933;false
spring-projects/spring-framework;40536;40536;3518;27951;false
cypress-io/cypress;24921;24921;429;1494;false
sequelize/sequelize;23311;23311;461;3611;false
redux-saga/redux-saga;21112;21112;290;1891;false
microsoft/calculator;20729;20729;549;3649;false
Microsoft/calculator;20729;20729;549;3649;false
rollup/rollup;19339;19339;270;952;false
balena-io/etcher;19306;19306;414;1305;false
servo/servo;18767;18767;524;2508;false
eslint/eslint;17557;17557;306;3118;false
sherlock-project/sherlock;17292;17292;522;1804;false
sdushantha/sherlock;17292;17292;522;1804;false
helm/charts;14852;14852;422;16483;false
salomonelli/best-resume-ever;13725;13725;332;1912;false
theia-ide/theia;12466;12466;268;1483;false
MithrilJS/mithril.js;12456;12456;332;934;false
chentsulin/awesome-graphql;12140;12140;422;1056;false
dipakkr/A-to-Z-Resources-for-Students;11685;11685;397;3638;false
LightTable/LightTable;11349;11349;456;942;false
arduino/Arduino;10892;10892;1048;6761;false
qbittorrent/qBittorrent;10680;10680;376;1916;false
octocat/Spoon-Knife;10345;10345;411;114736;false
s0md3v/XSStrike;8700;8700;273;1257;false
sympy/sympy;7628;7628;302;3215;false
systemd/systemd;7485;7485;356;2400;false
s0md3v/Photon;7371;7371;291;1024;false
LogRocket/redux-logger;5387;5387;71;332;false
reactiveui/refit;4517;4517;182;509;false
ShizukuIchi/winXP;4281;4281;62;232;false
s0md3v/AwesomeXSS;3229;3229;276;540;false
Stellarium/stellarium;2315;2315;131;403;false
fridays/next-routes;2251;2251;19;214;false
s0md3v/Arjun;2079;2079;74;401;false
Hexxeh/rpi-update;1852;1852;134;208;false
s0md3v/Striker;1641;1641;113;376;false
vendure-ecommerce/vendure;1622;1622;52;247;false
soulmachine/acm-cheat-sheet;1575;1575;174;521;false
s0md3v/hue;1394;1394;16;71;false
angular-redux/store;1367;1367;66;208;false
liammclennan/JavaScript-Koans;1325;1325;58;1230;false
HDInnovations/UNIT3D;1253;1253;55;236;false
arkingc/note;1227;1227;54;480;false
angular-redux/ng-redux;1164;1164;23;188;false
tuist/tuist;1163;1163;31;119;false
tinyos/tinyos-main;1106;1106;174;490;false
apache/struts;1042;1042;125;696;false
YetiForceCompany/YetiForceCRM;1012;1012;257;514;false
s0md3v/ReconDog;1001;1001;69;260;false
googleapis/google-api-java-client;983;983;162;564;false
s0md3v/Hash-Buster;927;927;79;286;false
gfranko/jquery.tocify.js;919;919;42;230;false
ever-co/ever;903;903;64;265;false
kyb3r/modmail;853;853;51;2585;false
paranoidninja/CarbonCopy;811;811;43;176;false
aritchie/userdialogs;792;792;51;315;false
3gstudent/Pentest-and-Development-Tips;776;776;46;260;false
robotframework/RIDE;711;711;118;333;false
javers/javers;696;696;35;224;false
rurban/smhasher;664;664;44;96;false
s0md3v/Decodify;647;647;33;111;false
s0md3v/Diggy;629;629;16;106;false
s0md3v/Blazy;621;621;32;210;false
lzjun567/note;612;612;84;247;false
graphql/graphql.github.io;593;593;64;1328;false
zulip/zulip-desktop;534;534;31;282;false
Ishaan28malik/HACKTOBERFEST_2018-Beginners-;501;501;3;1346;false
terrillo/rn-apple-healthkit;460;460;16;291;false
zero-to-mastery/ZtM-Job-Board;424;424;43;1477;false
LineageOS/lineage_wiki;407;407;63;391;false
s0md3v/Cloak;405;405;32;99;false
NVAITC/ai-lab;402;402;21;62;false
tlkh/deeplearning-lab;402;402;21;62;false
samiheikki/javascript-guessing-game;384;384;6;46;false
s0md3v/nano;384;384;32;88;false
Pext/Pext;376;376;13;36;false
d4nyll/lethargy;375;375;5;45;false
s0md3v/JShell;374;374;20;115;false
citusdata/django-multitenant;362;362;28;52;false
libretro/ludo;355;355;16;35;false
s0md3v/Breacher;353;353;25;154;false
Stegosource/vuetensils;350;350;11;27;false
Stegosource/va11y-ui;350;350;11;27;false
s0md3v/MyPapers;338;338;31;76;false
s0md3v/Zen;329;329;11;78;false
e2guardian/e2guardian;323;323;52;105;false
tuist/microfeatures-guidelines;315;315;14;15;false
povdocs/webvr-starter-kit;300;300;46;62;false
LambdaSchool/Precourse;297;297;53;1889;false
wayou/vscode-todo-highlight;287;287;10;67;false
graphql/graphql-wg;278;278;97;128;false
danhper/fundle;267;267;9;14;false
mubaris/motivate;265;265;15;549;false
mIcHyAmRaNe/okadminfinder3;262;262;14;71;false
s0md3v/Orbit;257;257;23;70;false
d4nyll/smartscroll;253;253;12;48;false
cs3157/recitations;247;247;81;217;false
mubaidr/vue-electron-template;243;243;12;45;false
s0md3v/Bolt;240;240;19;66;false
filamentgroup/AppendAround;239;239;26;32;false
wagtail/Willow;228;228;27;37;false
stuhirst/awssecurity;226;226;33;59;false
Grandt/PHPePub;221;221;27;69;false
logzio/elasticsearch-stress-test;216;216;11;94;false
datacamp/courses-intro-to-python;214;214;46;184;false
LightTable/fetch;206;206;17;31;false
decal/werdlists;202;202;16;58;false
ilkeraltin/react-ssr-news;195;195;8;79;false
s0md3v/Quark;194;194;12;26;false
moqui/moqui-framework;193;193;51;149;false
ows-ali/Hacktoberfest;174;174;4;774;false
alpersonalwebsite/react;173;173;0;31;false
asdf2014/algorithm;172;172;38;56;false
shakedzy/dython;170;170;11;55;false
awesome-inc/FontAwesome.Sharp;168;168;19;47;false
newrelic-platform/newrelic_aws_cloudwatch_plugin;160;160;28;102;false
tlkh/text-emotion-classification;160;160;12;62;false
hosseinmousavi/Regex.Persian.Language;157;157;7;15;false
iss0/SyncthingTray;156;156;26;23;false
wopian/kitsu;152;152;4;28;false
jfairbank/redux-saga-router;152;152;8;20;false
damianofalcioni/IP-Biter;151;151;14;54;false
mubaidr/vue-chrome-extension-boilerplate;150;150;3;37;false
angular-redux/platform;138;138;11;71;false
maateen/battery-monitor;135;135;10;31;false
WebGoat/WebGoat-Lessons;133;133;27;85;false
CSPF-Founder/JavaVulnerableLab;132;132;16;196;false
giansalex/greenter;131;131;29;92;false
dem-net/DEM.Net;129;129;16;22;false
xfischer/DEM.Net;129;129;16;22;false
mIcHyAmRaNe/wso-webshell;125;125;7;101;false
swapagarwal/geeksay;124;124;3;234;false
perl11/cperl;122;122;19;10;false
LightTable/Vim;118;118;13;26;false
mubaidr/Javascript-Barcode-Reader;117;117;3;20;false
nin9s/elk-hole;110;110;14;27;false
awesome-inc/monorepo.gitlab;107;107;9;19;false
dotpot/InAppPy;105;105;9;36;false
s0md3v/proxify;104;104;6;36;false
tuist/microfeatures-example;102;102;10;18;false
LightTable/Python;99;99;29;54;false
mubaidr/bulma-fluent;97;97;2;9;false
LightTable/Clojure;97;97;23;50;false
vtalbot/markdown;97;97;7;24;false
kpango/glg;97;97;6;9;false
alpersonalwebsite/challenges;96;96;0;0;false
alpersonalwebsite/hack-your-next-interview;96;96;0;0;false
tlkh/prowler;95;95;14;29;false
rurban/safeclib;95;95;21;28;false
patuwwy/ShaderToy-Chrome-Plugin;91;91;10;13;false
dialogs/android-dialer;90;90;1;19;false
imyanger/yblog;85;85;6;30;false
Alfresco/alfresco-repository;82;82;66;71;false
zulip/zulip-electron;80;80;3;34;false
Dashbrd/CalendarSyncplus;78;78;20;23;false
s0md3v/Shiva;78;78;11;53;false
cube-soft/Cube.Pdf;77;77;11;13;false
Dome9/cloud-bots;76;76;30;41;false
walles/moar;74;74;3;3;false
mubaidr/vue-fluent;73;73;1;5;false
walles/px;73;73;7;6;false
mubaidr/vue-swimlane;73;73;1;8;false
logzio/jmx2graphite;72;72;17;17;false
HaxeFoundation/haxe.org;71;71;20;91;false
aljen/spaghetti;68;68;4;11;false
nicoSWD/php-rule-parser;67;67;6;11;false
rubykube/workbench;67;67;17;143;false
alpersonalwebsite/data-structures;67;67;0;0;false
alpersonalwebsite/data-structures-and-algorithms;67;67;0;0;false
solr-express/solr-express;66;66;12;20;false
fzxiao233/Auto_Record_Matsuri;62;62;1;5;false
s0md3v/zetanize;62;62;4;13;false
vip-git/react-ssr-advanced-seed;61;61;11;12;false
Stegosource/carbon-grid;61;61;5;8;false
maateen/bangla-web-fonts;61;61;1;27;false
mubaidr/node-vue-template;60;60;4;27;false
mozilla/infosec.mozilla.org;60;60;17;51;false
Airmanbzh/php-html-generator;60;60;9;27;false
tivac/rollup-plugin-sizes;59;59;1;9;false
YANG-DB/yang-db;58;58;3;2;false
mubaidr/rainyday.js;57;57;4;26;true
mubaidr/SPA-asp.net-api-vuejs-;57;57;6;29;false
LightTable/Javascript;57;57;15;39;false
VerdantSparks/vuejs-aspnetcore-ssr;56;56;4;11;false
LightTable/plugin-metadata;56;56;19;25;false
LightTable/Emacs;56;56;14;14;false
rurban/perl-compiler;56;56;12;23;false
rackerlabs/rackspace-how-to;56;56;82;325;false
ManaPlus/ManaPlus;54;54;18;31;false
vip-git/react-jsonschema-form-material-ui;54;54;5;12;false
alpersonalwebsite/erc721-smart-contract;54;54;0;0;false
alexiusacademia/electron-db;53;53;4;18;false
tuist/shell;52;52;4;3;false
jmather/symfony-sonata-distribution;51;51;8;20;false
shakedzy/notebooks;51;51;6;47;false
EcommEasy/EcommEasy;51;51;2;36;false
s0md3v/Locky;50;50;6;23;false
NomisCZ/hlstatsx-community-edition;49;49;17;17;false
josteink/le-godaddy-dns;48;48;5;16;false
tuist/acho;47;47;4;5;false
nrlquaker/nfov;46;46;2;5;false
openmrs/openmrs-module-webservices.rest;46;46;68;401;false
fydrah/loginapp;45;45;1;14;false
mubaidr/bulma-addons;45;45;2;7;false
derberg/awesome-docs-with-static-site-generators;44;44;8;9;false
d4nyll/instafetch;44;44;6;16;false
s0md3v/Entropy;44;44;4;12;false
kimxogus/react-tutorial;43;43;2;18;false
s0md3v/regxy;43;43;4;13;false
Alfresco/acs-community-packaging;42;42;63;33;false
alpersonalwebsite/private-blockchain;40;40;0;1;false
tlkh/SmartBin;40;40;5;9;false
decal/ssltest-stls;40;40;11;43;false
suissa/pleaseGetSomeMusicForMe;39;39;8;11;false
vtalbot/pjax;39;39;3;34;false
dialogs/electron-ssl-pinning;39;39;3;7;false
Hack23/cia;39;39;5;26;false
mIcHyAmRaNe/PUPI;38;38;4;14;false
OSWeekends/Guilds;38;38;17;36;false
logzio/elasticsearch-benchmark-tool;38;38;56;8;false
LightTable/Emmet;37;37;13;6;false
Makanz/chartjs-plugin-trendline;36;36;3;33;false
paulsheldon/SmartThings-PS;35;35;6;126;false
LightTable/CSS;35;35;16;22;false
doc-ai/TensorIO;35;35;19;8;false
yazeedalrubyli/SDRC;35;35;5;10;false
mrk-andreev/tornado-swagger;35;35;3;9;false
LightTable/Paredit;35;35;12;12;false
doc-ai/tensorio;35;35;19;8;false
s3curitybug/guardedbox;34;34;4;8;false
jamland/instabyte;34;34;1;15;false
logzio/kibana-visualizations;33;33;15;14;false
LibrIT/passhport;32;32;10;14;false
awesome-inc/hello.gitlab.monorepo;32;32;2;1;false
terraform-aws-modules/terraform-aws-redshift;32;32;7;81;false
Harkishen-Singh/Jarvis-personal-assistant;32;32;5;36;false
scriptex/webpack-mpa;31;31;5;3;false
logzio/logzio-docker;31;31;57;14;false
maateen/py-url-shortener;31;31;2;5;false
ParanoidUser/codewars;31;31;3;3;false
LightTable/HTML;31;31;16;17;false
logzio/logzio-python-handler;29;29;11;21;false
aljen/swtor_fix;29;29;8;27;false
spyoungtech/behave-webdriver;29;29;5;11;false
EINDEX/Python-algorithm;29;29;2;12;false
mubaidr/vuejs-extension-pack;29;29;1;5;false
maateen/vim-for-python;28;28;3;3;false
geops/react-spatial;28;28;6;11;false
25/EnchantmentsEnhance;28;28;5;17;false
s0md3v/meta;27;27;1;8;false
damianofalcioni/Websocket-Smart-Card-Signer;27;27;5;12;false
timecamp/timecamp-api;27;27;8;11;false
kpango/gache;26;26;3;6;false
ilkeraltin/react-spa-news;26;26;3;14;false
mubaidr/Speed-up-Browsing;26;26;9;14;false
looker/customer-scripts;25;25;9;93;false
wopian/hibari;25;25;4;11;false
atomjack/simple-lastfm;25;25;4;12;false
dialogs/java-bot-sdk;25;25;5;7;false
Alfresco/alfresco-core;25;25;62;16;false
gsylvie/git-reverse.sh;24;24;1;4;false
dean2021/go-masscan;24;24;2;11;false
clearcare/cc_dynamodb3;23;23;38;8;false
hosseinmousavi/Pois;23;23;3;6;false
Diapolo10/RPGenie;23;23;7;10;false
rumaan/git-github-workshop;23;23;9;53;false
manish-kj/Posit-HDL-Arithmetic;23;23;5;8;false
TheDoctor0/CSGOMod;23;23;5;22;false
LightTable/JSHint;23;23;9;11;false
dialogs/commons;23;23;12;4;false
YetiForceCompany/YetiForcePortal2;22;22;20;15;false
LightTable/Rainbow;22;22;8;8;false
crondaemon/dines;22;22;2;2;false
Kreshnik/acf-field-icon-font;21;21;4;5;false
kpango/japanese-go-companies;21;21;1;7;false
tilde-lab/tilde;21;21;3;4;false
codeschool-projects/BootstrapPortfolioProject;21;21;5;1243;false
kyma-project/test-infra;21;21;26;97;false
little-apps/little-system-cleaner;21;21;5;5;false
jseidl/usernamer;21;21;2;11;false
kimxogus/algorithms-scala;20;20;2;12;true
Alfresco/alfresco-remote-api;20;20;61;31;false
lillo42/webthing-csharp;19;19;2;7;false
LightTable/node-webkit;19;19;13;5;true
awesome-inc/NuPlug;19;19;5;2;false
Skyost/Bacomathiques;19;19;2;7;false
crondaemon/namescan;19;19;2;10;false
devopyio/zabbix-alertmanager;19;19;3;12;false
awesome-inc/OneClickBuild;19;19;3;7;false
dialogs/sbt-dialog-api;19;19;12;2;false
jhagrid77/CDDA-Ubuntu-Launcher;19;19;2;5;false
shakedzy/tic_tac_toe;19;19;2;2;false
LightTable/docs.lighttable.com;19;19;10;9;false
LightTable/Declassifier;19;19;11;6;false
logzio/logzio-k8s;18;18;13;33;false
mubaidr/Book-Trading-Club;18;18;3;13;false
tuxtof/freebox-monitoring;18;18;3;3;false
NeilRen/NEILREN4J;18;18;2;10;false
GeertHauwaerts/exabgp-voipbl;18;18;4;4;false
walles/bubblemon;17;17;2;2;false
jonpchin/gochess;17;17;4;8;false
F2I-Consulting/fesapi;17;17;8;15;false
kpango/fastime;17;17;3;7;false
maateen/daroyan;17;17;2;0;false
alexiusacademia/ChannelFlowLib;16;16;3;2;false
jmather/pagoda-symfony-sonata-distribution;16;16;3;3;false
maateen/mama;16;16;1;2;false
walles/riff;16;16;3;0;false
LordAlbior/UE4-Watercolor;16;16;2;5;false
Dome9/cft-simulator;16;16;19;7;false
TheDoctor0/BasePack;15;15;4;7;false
kpango/dotfiles;15;15;2;5;false
Oskii/Veggie;15;15;4;4;false
